IDU,row_spacing,plant_spacing,rmse,points_expected,points_found,area_missing_pct
070970000B0402,2.5,0.9,1.064,409.0,318.0,22.25
070970000C0150,2.1,1.0,0.972,1457.0,1185.0,18.67
070970000D0293,2.4,0.8,1.052,3106.0,2367.0,23.79
070990000C0440,2.2,0.8,1.209,3198.0,1704.0,46.72
070990000F0524,2.5,0.8,1.118,5523.0,3903.0,29.33
070990000F0830,2.3,1.0,1.303,9272.0,3782.0,59.21
070990000F0842,2.1,1.1,1.206,2554.0,1301.0,49.06
070990000F0853,2.2,0.8,1.13,4417.0,2899.0,34.37
070990000F0939,2.1,0.8,0.865,1641.0,1384.0,15.66
070990000F1070,2.5,0.8,1.179,11224.0,6840.0,39.06
070990000F1330,2.3,0.8,0.963,721.0,567.0,21.36
070990000F1459,2.2,1.0,1.244,3649.0,1689.0,53.71
07102000AW0001,1.8,0.5,1.036,78201.0,55213.0,29.4
07102000BB0186,2.5,1.6,1.342,62.0,21.0,66.13
07102000BC0006,2.2,0.8,1.372,1867.0,545.0,70.81
071130000B0209,2.5,1.5,1.382,834.0,232.0,72.18
071130000B0517,2.3,0.8,1.158,2564.0,1716.0,33.07
071130000B0637,1.8,0.8,1.224,2749.0,1450.0,47.25
071130000B0839,1.5,0.8,1.172,4366.0,2893.0,33.74
071130000C0166,2.4,0.8,1.433,2336.0,313.0,86.6
071130000C0269,2.4,1.3,1.382,2110.0,588.0,72.13
071130000D0112,2.3,1.2,1.145,1093.0,651.0,40.44
071260000B0274,2.4,1.4,1.213,881.0,483.0,45.18
071260000B0282,2.5,1.1,1.258,2131.0,969.0,54.53
071260000B0283,2.3,1.4,1.269,1966.0,986.0,49.85
071260000D0024,2.4,1.1,1.041,7325.0,5482.0,25.16
071260000F0114,2.4,1.0,0.944,1892.0,1608.0,15.01
071260000F0312,2.5,1.0,1.135,1012.0,644.0,36.36
071260000F0313,2.4,1.1,1.112,909.0,673.0,25.96
071260000F0314,1.5,0.8,1.056,2073.0,1669.0,19.49
071260000F0490,2.3,1.2,1.416,2423.0,486.0,79.94
071260000F0559,2.3,1.5,1.284,2334.0,1072.0,54.07
071260000F0639,2.2,1.4,1.302,534.0,225.0,57.87
071260000F0844,2.3,0.9,1.128,3076.0,2001.0,34.95
071260000G0284,2.1,0.9,1.094,2984.0,2241.0,24.9
071260000G0413,2.4,1.4,1.421,1530.0,280.0,81.7
071260000G0455,2.4,1.4,1.228,83.0,47.0,43.37
071260000G0476,1.9,1.5,1.244,163.0,92.0,43.56
071260000G0597,2.3,0.8,0.991,1540.0,1335.0,13.31
071260000H0435,2.2,0.8,1.234,5952.0,3217.0,45.95
071260000H0527,2.5,0.9,1.188,5093.0,2897.0,43.12
071260000H0770,2.3,0.8,1.171,1906.0,1098.0,42.39
071260000H1111,2.4,0.8,0.938,268.0,224.0,16.42
071260000H1250,2.0,1.4,1.341,1731.0,621.0,64.12
071260000I0068,2.5,0.8,1.347,2129.0,755.0,64.54
071330000A0316,2.4,0.9,0.954,937.0,766.0,18.25
071330000A0317,2.4,1.4,1.379,120.0,33.0,72.5
071330000B0248,2.3,0.8,1.1,4168.0,2784.0,33.21
071330000B0553,2.2,0.8,1.108,2789.0,2051.0,26.46
071400000D0562,2.0,0.7,0.667,667.0,663.0,0.6
07143000AB0120,2.0,0.6,0.94,2921.0,2537.0,13.15
07143000AB0148,1.5,0.5,0.731,1484.0,1319.0,11.12
07143000AB0173,1.4,0.7,0.665,972.0,950.0,2.26
07143000AB0403,2.0,0.8,0.844,443.0,405.0,8.58
07143000AB0502,1.9,0.5,0.657,1974.0,1925.0,2.48
07143000AB0530,1.7,0.7,0.864,620.0,571.0,7.9
07143000AD0002,1.3,0.6,0.845,2824.0,2530.0,10.41
07143000AD0022,1.5,0.5,0.899,1586.0,1330.0,16.14
07143000AD0026,2.0,0.5,0.887,579.0,466.0,19.52
07143000AD0640,1.6,0.8,1.077,414.0,303.0,26.81
07143000AK0412,2.0,0.5,0.79,655.0,554.0,15.42
07143000AK0416,1.6,0.7,1.012,3676.0,2615.0,28.86
07143000AK0423,1.9,0.7,0.942,2452.0,2110.0,13.95
07143000AK0436,1.1,0.9,0.863,628.0,598.0,4.78
07143000AK0521,1.9,0.6,0.743,354.0,326.0,7.91
07143000AK0526,2.0,0.6,0.793,839.0,703.0,16.21
07143000AK0547,2.0,0.8,1.001,1176.0,878.0,25.34
07143000AK0591,1.3,0.6,0.87,845.0,766.0,9.35
07143000AK0649,1.9,0.8,0.951,1001.0,860.0,14.09
07143000AK0669,2.0,0.8,0.802,796.0,675.0,15.2
07143000AK0697,1.9,0.8,0.948,2231.0,1964.0,11.97
07143000AK0737,2.0,0.9,0.959,473.0,428.0,9.51
07143000AK0828,2.0,0.5,0.636,147.0,132.0,10.2
07143000AK0830,2.0,0.5,0.717,868.0,797.0,8.18
07143000AK0833,1.6,0.5,0.816,305.0,277.0,9.18
07143000AL0118,1.6,1.0,1.089,968.0,691.0,28.62
07143000AL0149,2.0,0.8,1.016,2333.0,1838.0,21.22
07143000AL0150,1.9,0.7,0.758,1274.0,1191.0,6.51
07143000AL0275,1.6,0.6,0.924,264.0,234.0,11.36
07143000AL0440,1.2,0.6,0.94,2643.0,2228.0,15.7
07143000AL0556,1.8,0.7,0.981,380.0,310.0,18.42
071520000A0460,2.4,0.6,1.052,604.0,394.0,34.77
071520000A0485,2.5,1.0,0.64,11.0,11.0,0.0
071520000A0584,2.5,0.7,0.702,353.0,334.0,5.38
071520000A0610,2.0,0.7,0.921,1376.0,1147.0,16.64
071520000A1130,2.3,0.9,0.877,198.0,166.0,16.16
071520000A1626,1.7,0.7,0.84,840.0,732.0,12.86
071520000D0015,2.4,0.7,0.835,576.0,489.0,15.1
071520000D0289,2.5,0.6,1.017,199.0,155.0,22.11
07152000AH0059,2.2,0.9,0.846,702.0,627.0,10.68
07152000AH0062,2.3,0.6,1.225,1897.0,820.0,56.77
07152000AH0070,2.0,1.0,0.929,1137.0,1013.0,10.91
07152000AH0100,2.4,0.9,1.015,391.0,279.0,28.64
07152000ZA0024,2.0,0.6,0.673,2226.0,2139.0,3.91
07152000ZA0033,2.0,0.9,0.825,2516.0,2258.0,10.25
07152000ZA0044,2.3,0.8,0.631,301.0,296.0,1.66
07152000ZB0016,2.5,0.7,0.664,2513.0,2419.0,3.74
07152000ZB0051,2.4,0.6,0.667,4599.0,4496.0,2.24
07152000ZB0056,2.4,0.6,0.746,366.0,343.0,6.28
07152000ZB0063,2.4,0.6,0.821,2037.0,1861.0,8.64
071680000A0114,2.4,0.9,1.154,3653.0,2488.0,31.89
071680000D0040,2.3,1.0,1.23,8428.0,4696.0,44.28
071680000D0056,2.4,0.8,1.136,5369.0,3618.0,32.61
07168000AB0415,2.4,0.8,0.985,2885.0,2421.0,16.08
07168000AC0030,2.4,0.8,1.455,2392.0,235.0,90.18
07168000AC0085,2.2,0.9,1.001,10.0,8.0,20.0
07168000AE0085,1.9,0.9,1.195,1610.0,1012.0,37.14
07168000AE0141,2.1,0.8,1.099,348.0,266.0,23.56
07168000AI0150,2.5,0.8,1.13,847.0,603.0,28.81
07168000AL0021,1.2,0.8,1.054,8253.0,6502.0,21.22
07168000AM0107,2.4,1.5,1.403,65.0,13.0,80.0
07168000AM0296,2.5,1.2,1.25,7760.0,4048.0,47.84
07168000AN0003,1.8,1.4,1.232,577.0,335.0,41.94
071690000A0076,2.0,0.5,0.965,202.0,174.0,13.86
071690000B0124,2.3,0.6,1.043,790.0,587.0,25.7
071690000B0263,2.5,0.9,1.116,1869.0,1272.0,31.94
071690000B0416,2.5,0.6,1.433,1241.0,160.0,87.11
071690000B0453,1.0,0.6,1.039,1717.0,1301.0,24.23
071690000C0160,2.1,0.6,0.702,376.0,354.0,5.85
071690000C0161,2.1,0.7,0.745,615.0,570.0,7.32
071690000C0327,1.5,0.5,1.086,1053.0,705.0,33.05
071690000C0741,2.3,0.8,1.161,747.0,427.0,42.84
071690000C0860,1.9,1.0,1.222,333.0,181.0,45.65
071690000C1574,1.8,0.8,0.791,265.0,233.0,12.08
071690000C1922,2.0,2.0,1.269,17.0,7.0,58.82
071690000D0215,1.9,0.8,0.846,1427.0,1301.0,8.83
07174000AB0087,2.3,0.8,0.748,936.0,865.0,7.59
07174000AB0088,2.4,0.7,0.674,495.0,463.0,6.46
07174000AC0160,2.3,0.9,1.069,3573.0,2631.0,26.36
07174000AC0164,2.0,0.7,1.165,1219.0,748.0,38.64
07174000AC0206,2.4,0.6,0.481,403.0,390.0,3.23
07174000AC0239,1.9,1.1,0.978,683.0,554.0,18.89
07174000AC0401,1.8,0.8,0.91,305.0,274.0,10.16
07174000AI0006,2.5,0.7,0.889,2733.0,2496.0,8.67
07174000AI0205,2.5,0.7,0.859,69.0,66.0,4.35
07228000AC0435,2.5,0.6,0.842,2835.0,2616.0,7.72
07228000AC0437,2.2,0.6,1.137,26114.0,15896.0,39.13
07228000AD0299,2.4,0.7,0.824,569.0,511.0,10.19
07228000AH0158,1.4,0.5,0.979,1967.0,1550.0,21.2
07228000AH0168,2.5,0.5,0.668,1652.0,1615.0,2.24
07228000AK0052,2.5,0.7,0.871,460.0,412.0,10.43
07228000AK0247,2.3,0.9,0.823,4055.0,3546.0,12.55
07228000AK0249,1.8,0.7,1.136,4291.0,2801.0,34.72
07228000AK0289,2.5,0.7,0.658,63.0,63.0,0.0
07228000AK0321,2.3,0.7,0.899,583.0,536.0,8.06
07228000AL0022,2.5,1.2,0.983,270.0,238.0,11.85
07228000AL0070,2.1,0.6,0.678,2170.0,2047.0,5.67
07228000AL0186,2.0,1.1,0.945,783.0,675.0,13.79
07228000AL0241,2.5,1.8,1.368,384.0,113.0,70.57
07228000AM0041,2.0,0.8,0.835,1715.0,1563.0,8.86
07228000AM0101,1.9,0.6,1.103,5865.0,3756.0,35.96
07228000AN0001,1.9,0.8,0.791,13.0,13.0,0.0
07228000AN0002,2.5,0.6,0.754,1479.0,1416.0,4.26
07228000ZA0004,2.4,1.2,0.941,257.0,225.0,12.45
07228000ZA0070,2.4,0.7,0.753,4912.0,4722.0,3.87
07228000ZA0073,2.2,0.6,0.949,28531.0,22581.0,20.85
072340000A0047,2.5,0.7,0.937,2024.0,1647.0,18.63
072340000A0051,2.3,0.7,1.27,485.0,211.0,56.49
072340000A0112,2.0,1.1,0.986,299.0,262.0,12.37
072340000A0113,2.3,0.8,1.03,265.0,185.0,30.19
072340000A0118,1.9,1.0,1.045,842.0,669.0,20.55
072340000A0121,2.4,0.8,1.017,1293.0,1047.0,19.03
072340000A0653,1.9,0.6,0.769,2818.0,2547.0,9.62
072340000A0697,1.5,0.6,0.718,1338.0,1276.0,4.63
072340000A0721,2.5,0.6,1.096,895.0,589.0,34.19
072340000A1036,2.5,0.6,0.886,608.0,471.0,22.53
072340000A1141,2.4,0.7,0.836,2325.0,2093.0,9.98
072450000A1474,1.5,1.1,1.147,889.0,572.0,35.66
072450000A1475,2.4,1.2,1.117,365.0,235.0,35.62
072450000A1761,2.3,0.9,1.104,1201.0,833.0,30.64
072450000D0182,2.0,0.6,0.762,531.0,471.0,11.3
